file,condition,jitter_local_pct,shimmer_local_pct,hnr_db,mean_f0_hz,voiced_rate_per_sec
001_วันนี้ฉะฉันรู้สึกดีมาก,raw,1.7398792442523885,6.10988342289267,18.31638565642977,160.2586343297352,31.8
001_วันนี้ฉะฉันรู้สึกดีมาก,mild,1.744586866099539,9.226345683019296,12.560392957126181,166.88480320012752,34.13457459059117
001_วันนี้ฉะฉันรู้สึกดีมาก,moderate,1.9838651458383065,14.495235285938588,10.040064225353754,173.08718693685523,35.33568904593639
001_วันนี้ฉะฉันรู้สึกดีมาก,severe,3.5380357876503363,19.031936321300062,6.8908433359353,134.93532118226682,30.98748396155615
002_ขอน้ำหนึ่งแก้วได้ไหม,raw,1.8594931841653384,6.0016907753157,16.170327961658305,154.14015291888998,36.4
002_ขอน้ำหนึ่งแก้วได้ไหม,mild,1.5577671042469314,12.00881651070715,11.507299046892506,162.064086699039,36.6874849563576
002_ขอน้ำหนึ่งแก้วได้ไหม,moderate,2.0663429916374145,13.154762238228937,10.315815818075514,170.06570242791122,37.88221296847115
002_ขอน้ำหนึ่งแก้วได้ไหม,severe,3.791925813874444,19.30239595621827,3.454306933101324,132.88790192891875,26.71730731451771
003_ฉันอยู่ที่บ้านนะ,raw,1.5036052661009174,6.54036423108124,17.78401610322598,175.2103586147313,23.0
003_ฉันอยู่ที่บ้านนะ,mild,1.4179496136290086,10.969200540440474,14.099390992848038,168.4282033438576,23.832471742749494
003_ฉันอยู่ที่บ้านนะ,moderate,1.6416961670321188,15.521564291726946,9.0199815860277,194.0217156066849,24.56645678850709
003_ฉันอยู่ที่บ้านนะ,severe,3.9310236210482343,17.589782699964342,6.1196754480207085,149.6104240097637,24.63293976476448
004_หิวข้าวแล้ว,raw,1.6703833782681605,8.926392593437098,15.620934850414253,194.74966477098405,21.0
004_หิวข้าวแล้ว,mild,2.5192094591705723,12.002562215090032,11.936765098415593,186.03973230455205,22.029596283702887
004_หิวข้าวแล้ว,moderate,2.672365102501968,18.228407035940617,7.2358261413752185,179.4513129906215,18.562421185372006
004_หิวข้าวแล้ว,severe,3.2635713382257583,17.046120980624007,3.015100818491234,155.76832709993772,12.775659007575042
005_ขอบคุณมากนะครับ,raw,1.8978031810611466,9.27392192774186,14.544957982772967,168.5156614600509,18.8
005_ขอบคุณมากนะครับ,mild,2.2920981044408264,10.471822669416605,11.120467668725304,153.95079204225897,17.411970729876792
005_ขอบคุณมากนะครับ,moderate,2.2350480702084625,15.640035840323735,8.616344741838919,187.53467343061416,20.815739620660533
005_ขอบคุณมากนะครับ,severe,4.970507151274434,21.831412513333387,4.863820043992397,135.77781375077373,18.16520944799687
006_ช่วยฉันด้วยได้ไหม,raw,2.3083422181847864,9.068429869741117,13.565692484216147,155.38928576852152,27.0
006_ช่วยฉันด้วยได้ไหม,mild,2.4664540446703893,15.26029707734568,7.893053874860772,146.93856609074052,26.619964973730298
006_ช่วยฉันด้วยได้ไหม,moderate,2.6954330120807555,15.815611164546173,8.420195859294786,178.09350521882996,29.587451940346163
006_ช่วยฉันด้วยได้ไหม,severe,6.201596412400529,20.170341084326697,3.4904373716278894,130.86572447077808,22.67598417041874
007_วันนี้อากาศร้อนมาก,raw,1.980307326914994,6.558477171156714,15.255355337788538,159.4094312555739,28.6
007_วันนี้อากาศร้อนมาก,mild,2.000349220233547,9.505584544787084,10.57699451353617,147.23752589103293,28.87977279899022
007_วันนี้อากาศร้อนมาก,moderate,1.7111116184867579,13.502965320865629,8.67873251597719,178.00964801052862,25.75944532581233
007_วันนี้อากาศร้อนมาก,severe,4.593023227036177,18.96704548640274,3.8364062985772143,199.40128002127534,20.895484168341806
008_ฉันชื่อกันต์กวี,raw,1.3599490867082227,5.499318502370362,14.916642992610285,162.54606997577721,23.0
008_ฉันชื่อกันต์กวี,mild,1.7284676950207738,9.184873610116036,11.97307245501407,173.6396223832835,26.465461300624735
008_ฉันชื่อกันต์กวี,moderate,1.9476131017953864,15.54382555597875,9.690976415416893,181.20880552098455,23.443223443223445
008_ฉันชื่อกันต์กวี,severe,3.396432451442183,18.067105585931795,4.796674044631387,196.8861218738293,23.832779839812464
009_โทรหาหมอให้ทีได้ไหม,raw,1.7696380828947602,6.2389535608777,16.587483709746063,153.7747476764887,40.0
009_โทรหาหมอให้ทีได้ไหม,mild,2.1730003401906037,12.468645247732262,11.060070036108383,165.84061633356978,39.20139717800198
009_โทรหาหมอให้ทีได้ไหม,moderate,2.2400951376718985,16.348177757204706,8.647969627390449,169.17271010512215,40.47306872210523
009_โทรหาหมอให้ทีได้ไหม,severe,4.024981531797898,18.852571297028938,4.404415233941775,191.54508503024866,33.66136300928907
010_ฉันต้องการความช่วยเหลือ,raw,1.7978150683422165,7.0743936774894935,14.270086595638485,154.3891729277665,32.8
010_ฉันต้องการความช่วยเหลือ,mild,2.139985644664789,14.118119288615214,9.16874237927171,164.22678377729486,33.96131625219794
010_ฉันต้องการความช่วยเหลือ,moderate,1.6992007524663382,15.025054329771056,9.79251366156017,175.02657763268374,36.685597375568804
010_ฉันต้องการความช่วยเหลือ,severe,3.493522594183772,18.00339141060537,6.92527528150393,189.69012184154815,43.1266846361186
